feature,coefficient
category_Apparel,1.0491962272265456
category_Footwear,1.0487204887425972
past_return_rate,0.39165683334297313
size_variants_in_order,0.29527971506512996
discount_pct,0.09298412571411062
payment_method_COD,0.08697691145401873
days_to_deliver,0.0646767693099951
price,0.0556896993664906
is_gift_wrapped,0.01541117216404393
payment_method_NetBanking,0.012616943837257547
past_orders,-0.015432444100458206
device_Tablet,-0.07431909378950328
payment_method_Card,-0.10156971665613865
device_Mobile,-0.10824085624344297
payment_method_UPI,-0.1334400984176299
device_Desktop,-0.14350847030014466
payment_method_Wallet,-0.19065246055059998
review_score_of_product,-0.20464570166923732
category_Beauty,-0.3243967816490511
category_Toys,-0.4925752261460116
category_Home,-0.5185119923854699
category_Books,-0.542710682674651
category_Electronics,-0.5457904534470822
