threshold,net_value_inr
0.05,-9040.0
0.060000000000000005,-9040.0
0.07,-9040.0
0.08000000000000002,-9040.0
0.09000000000000001,-9040.0
0.1,-9040.0
0.11000000000000001,-9040.0
0.12000000000000001,-9040.0
0.13,-9040.0
0.14,-9040.0
0.15000000000000002,-9040.0
0.16000000000000003,-9040.0
0.17000000000000004,-9040.0
0.18000000000000005,-9040.0
0.19,-8960.0
0.2,-8480.0
0.21000000000000002,-7400.0
0.22000000000000003,-5480.0
0.23000000000000004,-2040.0
0.24000000000000005,1960.0
0.25000000000000006,5960.0
0.26000000000000006,11760.0
0.27,17040.0
0.28,22200.0
0.29000000000000004,25980.0
0.30000000000000004,29760.0
0.31000000000000005,32540.0
0.32000000000000006,36160.0
0.33,39480.0
0.34,42200.0
0.35000000000000003,44680.0
0.36000000000000004,46300.0
0.37000000000000005,47720.0
0.38000000000000006,49960.0
0.39000000000000007,52180.0
0.4000000000000001,52900.0
0.4100000000000001,55560.0
0.42000000000000004,55920.0
0.43000000000000005,56980.0
0.44000000000000006,58520.0
0.45000000000000007,59580.0
0.4600000000000001,60360.0
0.4700000000000001,60620.0
0.4800000000000001,60180.0
0.49000000000000005,60100.0
0.5000000000000001,60360.0
0.5100000000000001,59940.0
0.5200000000000001,59700.0
0.5300000000000001,60120.0
0.5400000000000001,60080.0
0.5500000000000002,60060.0
0.5600000000000002,60140.0
0.5700000000000002,59800.0
0.5800000000000002,59960.0
0.5900000000000002,58520.0
0.6000000000000002,58080.0
0.6100000000000001,56660.0
0.6200000000000001,54240.0
0.6300000000000001,50880.0
0.6400000000000001,47280.0
0.6500000000000001,43080.0
0.6600000000000001,37400.0
0.6700000000000002,33620.0
0.6800000000000002,30820.0
0.6900000000000002,24900.0
0.7000000000000002,21460.0
0.7100000000000002,16920.0
0.7200000000000002,13760.0
0.7300000000000002,11400.0
0.7400000000000002,7740.0
0.7500000000000002,4600.0
0.7600000000000002,2920.0
0.7700000000000002,800.0
0.7800000000000001,600.0
0.7900000000000001,180.0
0.8000000000000002,180.0
0.8100000000000002,0.0
0.8200000000000002,0.0
0.8300000000000002,0.0
0.8400000000000002,0.0
0.8500000000000002,0.0
0.8600000000000002,0.0
0.8700000000000002,0.0
0.8800000000000002,0.0
0.8900000000000002,0.0
0.9000000000000002,0.0
0.9100000000000003,0.0
0.9200000000000003,0.0
0.9300000000000002,0.0
0.9400000000000002,0.0
0.9500000000000002,0.0
