fpr,tpr
0.0,0.0
0.0,0.001152073732718894
0.0,0.002304147465437788
0.0002420135527589545,0.002304147465437788
0.0002420135527589545,0.0034562211981566822
0.000484027105517909,0.0034562211981566822
0.000484027105517909,0.004608294930875576
0.0007260406582768635,0.004608294930875576
0.0007260406582768635,0.00576036866359447
0.000968054211035818,0.00576036866359447
0.000968054211035818,0.0069124423963133645
0.002420135527589545,0.0069124423963133645
0.002420135527589545,0.01152073732718894
0.0026621490803484995,0.01152073732718894
0.0026621490803484995,0.013824884792626729
0.002904162633107454,0.013824884792626729
0.002904162633107454,0.014976958525345621
0.003388189738625363,0.014976958525345621
0.003388189738625363,0.018433179723502304
0.0036302032913843175,0.018433179723502304
0.0036302032913843175,0.019585253456221197
0.003872216844143272,0.019585253456221197
0.003872216844143272,0.02304147465437788
0.004356243949661181,0.02304147465437788
0.004356243949661181,0.024193548387096774
0.005082284607938045,0.024193548387096774
0.005082284607938045,0.02534562211981567
0.005566311713455953,0.02534562211981567
0.005566311713455953,0.026497695852534562
0.005808325266214908,0.026497695852534562
0.005808325266214908,0.02880184331797235
0.006050338818973862,0.02880184331797235
0.006050338818973862,0.03110599078341014
0.006776379477250726,0.03110599078341014
0.006776379477250726,0.03571428571428571
0.007018393030009681,0.03571428571428571
0.007018393030009681,0.03686635944700461
0.007502420135527589,0.03686635944700461
0.007502420135527589,0.04032258064516129
0.007744433688286544,0.04032258064516129
0.007744433688286544,0.041474654377880185
0.007986447241045498,0.041474654377880185
0.007986447241045498,0.04262672811059908
0.008712487899322363,0.04262672811059908
0.008712487899322363,0.04377880184331797
0.008954501452081317,0.04377880184331797
0.008954501452081317,0.05184331797235023
0.009196515004840271,0.05184331797235023
0.009196515004840271,0.056451612903225805
0.009922555663117135,0.056451612903225805
0.009922555663117135,0.0576036866359447
0.01016456921587609,0.0576036866359447
0.01016456921587609,0.06105990783410138
0.011132623426911906,0.06105990783410138
0.011132623426911906,0.06336405529953917
0.012100677637947725,0.06336405529953917
0.012100677637947725,0.06451612903225806
0.012826718296224589,0.06451612903225806
0.012826718296224589,0.06682027649769585
0.013310745401742497,0.06682027649769585
0.013310745401742497,0.07027649769585254
0.013794772507260406,0.07027649769585254
0.013794772507260406,0.07373271889400922
0.014762826718296224,0.07373271889400922
0.014762826718296224,0.0771889400921659
0.015004840271055178,0.0771889400921659
0.015004840271055178,0.08410138248847926
0.016214908034849953,0.08410138248847926
0.016214908034849953,0.08640552995391705
0.016456921587608905,0.08640552995391705
0.016456921587608905,0.08870967741935484
0.01718296224588577,0.08870967741935484
0.01718296224588577,0.08986175115207373
0.017666989351403678,0.08986175115207373
0.017666989351403678,0.09216589861751152
0.018151016456921586,0.09216589861751152
0.018151016456921586,0.09331797235023041
0.018635043562439498,0.09331797235023041
0.018635043562439498,0.0944700460829493
0.01984511132623427,0.0944700460829493
0.01984511132623427,0.0967741935483871
0.02057115198451113,0.0967741935483871
0.02057115198451113,0.09907834101382489
0.02105517909002904,0.09907834101382489
0.02105517909002904,0.10368663594470046
0.021539206195546952,0.10368663594470046
0.021539206195546952,0.10829493087557604
0.02202323330106486,0.10829493087557604
0.02202323330106486,0.11059907834101383
0.023233301064859633,0.11059907834101383
0.023233301064859633,0.11290322580645161
0.023475314617618585,0.11290322580645161
0.023475314617618585,0.11405529953917051
0.02371732817037754,0.11405529953917051
0.02371732817037754,0.1152073732718894
0.023959341723136497,0.1152073732718894
0.023959341723136497,0.11635944700460829
0.024927395934172314,0.11635944700460829
0.024927395934172314,0.11866359447004608
0.02516940948693127,0.11866359447004608
0.02516940948693127,0.11981566820276497
0.025411423039690222,0.11981566820276497
0.025411423039690222,0.12096774193548387
0.025653436592449178,0.12096774193548387
0.025653436592449178,0.12788018433179724
0.02589545014520813,0.12788018433179724
0.02589545014520813,0.13018433179723501
0.026137463697967087,0.13018433179723501
0.026137463697967087,0.1313364055299539
0.02637947725072604,0.1313364055299539
0.02637947725072604,0.13248847926267282
0.027105517909002903,0.13248847926267282
0.027105517909002903,0.1347926267281106
0.027831558567279768,0.1347926267281106
0.027831558567279768,0.13709677419354838
0.030251694094869313,0.13709677419354838
0.030251694094869313,0.1382488479262673
0.03073572120038722,0.1382488479262673
0.03073572120038722,0.14055299539170507
0.03121974830590513,0.14055299539170507
0.03121974830590513,0.14170506912442396
0.03218780251694095,0.14170506912442396
0.03218780251694095,0.14285714285714285
0.03291384317521781,0.14285714285714285
0.03291384317521781,0.14400921658986174
0.03339787028073572,0.14400921658986174
0.03339787028073572,0.14631336405529954
0.03412391093901258,0.14631336405529954
0.03412391093901258,0.14861751152073732
0.03436592449177154,0.14861751152073732
0.03436592449177154,0.1543778801843318
0.03484995159728945,0.1543778801843318
0.03484995159728945,0.15552995391705068
0.0350919651500484,0.15552995391705068
0.0350919651500484,0.1578341013824885
0.035333978702807356,0.1578341013824885
0.035333978702807356,0.15898617511520738
0.03557599225556631,0.15898617511520738
0.03557599225556631,0.16013824884792627
0.03581800580832527,0.16013824884792627
0.03581800580832527,0.16129032258064516
0.036060019361084224,0.16129032258064516
0.036060019361084224,0.16244239631336405
0.03702807357212004,0.16244239631336405
0.03702807357212004,0.16359447004608296
0.037270087124878996,0.16359447004608296
0.037270087124878996,0.16474654377880185
0.037512100677637945,0.16474654377880185
0.037512100677637945,0.16589861751152074
0.03823814133591481,0.16589861751152074
0.03823814133591481,0.16820276497695852
0.04017424975798645,0.16820276497695852
0.04017424975798645,0.1693548387096774
0.0404162633107454,0.1693548387096774
0.0404162633107454,0.1728110599078341
0.04090029041626331,0.1728110599078341
0.04090029041626331,0.173963133640553
0.04138431752178122,0.173963133640553
0.04138431752178122,0.17626728110599077
0.04211035818005808,0.17626728110599077
0.04211035818005808,0.17857142857142858
0.042352371732817036,0.17857142857142858
0.042352371732817036,0.18317972350230416
0.04332042594385285,0.18317972350230416
