feature,importance_mean,importance_std
category,0.17479891684994275,0.00908437327066187
size_variants_in_order,0.04404055567203938,0.004145065602787465
past_return_rate,0.03138757782724631,0.0033645537811549525
review_score_of_product,0.007337192910452835,0.001338869951073875
payment_method,0.003054426654651573,0.0008529815425102155
discount_pct,0.0017581485331228533,0.000742355092994041
price,0.0008651705693676126,0.0005982410000534447
is_gift_wrapped,-4.146944978526968e-05,8.050102465240027e-05
days_to_deliver,-0.0001233860186799533,0.000651865545977764
device,-0.0005112768649912984,0.000472843482765789
past_orders,-0.0007863767559922537,0.000554433812833821
